家庭是否愿意讨论,调剂是否可接受,需要排除的组内专业,待补充问题,核验备注,院校代码,院校名称OCR,院校专业组代码OCR规范化,专业组号OCR,城市候选,公办民办机器线索,家庭底线属性动作,机器家庭匹配初判,调剂初判,偏好专业数,数字媒体技术专业数,计算机类相关专业数,师范类相关专业数,医学护理排除专业数,高收费或超预算专业数,特殊限制待核专业数,专业明细行数,机器筛选价值层级,是否进入机器初筛观察池,保真核验层级,历史线索分层,同代码命中年份最大值,历史最高等位分差,历史最低等位分差,来源页码,版面列,组内完整专业清单索引,机器核验下一步,人工核验下一步,不得进入原因,下一步,专业组出现ID,稳定基座专业组筛选ID
,,,,,T861,重庆工业职业技术大学,T86103,03,,非民办线索-教育部名单未备注民办,单独讨论-职业本科名称线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,2,0,2,0,0,0,0,2,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,239,left,1.06 汽车芯片与软件工程技术（办学地点：大一南川校区，大二起两江校区）[M-d0b2b8de592c2d39]；2.07 物联网工程技术（办学地点：大一南川校区，大二起两江校区）T865 童庆电子科技职业大学（公办）（重庆）[M-581aa30ea4e7dee4],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-00db1fa68951a0ba,STABLEGROUP-4122deb16d02b425
,,,,,A002,中国人民大学,A00208,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,true,R3-P2官网后人工确认,H0-无同代码历史线索,0,,,10,left,1.28 人工智能（办学地点：中关村校区）[M-8f0491e60410a6c8],先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,G-eedfcc7b971f13a6,STABLEGROUP-5528d658dfabe6fb
,,,,,A008,北京科技大学,A00809,09,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,8,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,13,right,1.18 材料科学与工程（100%满足学生分流意愿：本大一学年结東后可分流至材料材料化学、无机非金属材料工程、材料成型及招制工程、高分子材料与工程专业.一、三年级在北京校区，三、四年级在雄安[M-027f9395e9a9bf81]；2.19 自动化类（自动化、测控技术与仪器智能感知工程；一偃，兰、四年级在雄安校区）[M-cdaf86a1cb33ca94]；3.20 计算机类（计算机科学与技术、信息安食：些联品军很在雄委和年级在北京校，三、四年级在雄安校区）[M-49d453adbf222bcc]；4.21 通億工程（一、三年级在北京校区，三、四年级在雄安校区）[M-6cba556e234ab586]；5.22 机械类（机器人、智能制造与新能源车辆：机械工程、智能制造工程、机器人工程、车辆工程、物流工程、三年级在北京校区，三、四年级在雄安校区）[M-ec0b6ceb74d40fe9]；6.23 储能科学与工程（一、二年级在北京校区，三、四年级在雄安校区）[M-9f93cff5c9370256]；7.24 能源动力类（能源与动力工程、新能源环境工程、环境科学二年级在北京校区，三、四年级在[M-09eb95e944d56909]；8.25 安工程（智慧安全；大一学年结束后职业卫生工程专可分流至安全工程、三年级在北京校区，三、四年级在雄安校区）A010北京化工大学（公办）（北京）[M-d451210886dff728],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-229765a7d6bb0c2f,STABLEGROUP-bc341278b9c73bb3
,,,,,A027,北京师范大学,A02705,05,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,0,1,0,0,0,3,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,17,left,1.13 金融学（办学地点：北京校区）[M-e72eb3e445f8aaf7]；2.14 人力资源管理（心理学、人管双学士学位项目：“心理学+人力资源管理“双学士学位复合型入才培养项目；办学地点：北京校区）[M-9073563d8e11cc97]；3.15 教育学类（教育学、学前教育、特教南；另含：教育技术学；办学地点：北京校区）[M-f757fddd706d9357],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-e92945e579a4eb9c,STABLEGROUP-51f5610ad180a949
,,,,,A079,吉林大学,A07920,20,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,8,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,23,right,1.52 通信工程（办学地点：南湖校区）[M-861fc042fa3bceb1]；2.53 信息工程（办学地点：南湖校区）[M-2c34e9e826be4c75]；3.54 空间信息与数字技术（办学地点：南岭校区）[M-c126bf235635df8b]；4.55 自动化（办学地点：南岭校区）[M-5b2112a87c11fdfe]；5.56 机器人工程（办学地点：南岭校区）[M-501b9611394e57ce]；6.57 物联网工程（享英语语种考生就读：办学地点：前卫南区）[M-35f51fcfa7820dcb]；7.58 仪器类（测控技术与仪器、智能感知工程；办学地点：前卫南区）[M-2d30008bcdf0403d]；8.59 电气工程及其自动化（办学地点：前卫南区）[M-56f2e7f41b83cce1],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-d482e7593a95ab1e,STABLEGROUP-f156b94406bc8bd8
,,,,,A085,哈尔滨工程大学,A08523,23,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,4,4,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,25,right,1.38 轮机工程（民族班；只招收少数民族者生；录取控制分数线不低于该校同批[M-04750fafa19a97bc]；2.39 信息安全（民族班；只招收少数民族考生；录取控制分数线不低于该校同批[M-b00aeebac5540062]；3.40 新能源材料与器件（民族班：只招收少数民族考生；录取控制分数线不低于[M-608aace0ff0799b4]；4.41 应用物理学（民族班：只招收少数民族考生；录取控制分数线不低王该校同A087 东北林业大学（公办）（黑龙江）[M-1c137ef8eae961ee],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-c4c0acca79b23a40,STABLEGROUP-e009589a467bcd4a
,,,,,A169,重庆大学,A16903,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,true,R3-P2官网后人工确认,H0-无同代码历史线索,0,,,47,right,1.05 工科试验班（卓越计划：电气工程及其自动化；计算机科学与技术：电子信息工程：软件工程：自动化：机械设计制造及基自动化：能源与动力工程（等普通类四年制理工类专业）；录取学告息动获得卓越班选拔资格.放弃卓越班淡热及未被桌热班录取煮，可任选金校四年...[M-aa4e66a4ff3fe2ed],先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,G-1a4b3c22a6251207,STABLEGROUP-09bacb65438bb4ef
,,,,,A169,重庆大学,A16914,14,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,48,left,1.28 本科预科班（边防军人子女预科班；在生源省份特控线上招生；具有边防军人子女预科班报考资格的考生，方可报考：顶科培养合格后，依据考生学业成绩及升本专业志愿，升入电气工程及其自动化、工科试验班（计算机与智能软件）、工科试验班（未来信息）、工科试验...[M-adc5a8317f47f1c8],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-f0756949e2b4a590,STABLEGROUP-65b5a3c2944c60c1
,,,,,A191,西北农林科技大学,A19118,18,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,55,right,1.50 计算机类（民族班：计算机科学与技术：软件工程；数据科学与大数据技[M-fb5ccbb37a4f9f55],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-a85080bac042e9c3,STABLEGROUP-88b871a24db9c1a3
,,,,,A191,西北农林科技大学,A19119,19,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,0,1,0,0,1,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,55,right,1.51 劲物科学（民族班；色弱色盲不能录A193 陕西师范大学（公办）（陕西）[M-da160c1c7981422f],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-f4b02fe48e4657a5,STABLEGROUP-1ff95b04e76ee8bb
,,,,,A213,中国地质大学（北京）,A21311,11,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,59,right,1.37 软件工程（民族班：一年级在北京校区，二年级起在雄安校区）[M-939f16008bed316e],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-842dab51c0cee780,STABLEGROUP-5d608cc1c4a85084
,,,,,C105,长江大学,C10523,23,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,0,1,0,0,0,1,V1-偏好专业优先线索,true,R3-P2官网后人工确认,H0-无同代码历史线索,0,,,68,right,1.AC 思想政治教育《师范类：办学地点：荆[M-f7233a0678ab3f74],先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,G-8ec68430aaac4f52,STABLEGROUP-77810f9a81ffbf41
,,,,,C116,湖北科技学院,C11615,15,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,0,1,0,0,0,1,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,72,right,1.7 地理科学（师范类）[M-de7cb07a0de0bd1b],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-26f0b5da6a6107ff,STABLEGROUP-e8f964eead73a499
,,,,,C126,湖北文理学院,C12604,04,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,0,1,0,0,1,9,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,74,left,1.17 数字经济（办学地点：隆中校区）[M-7a0e2f143d15a94f]；2.18 国际经济与贸易（办学地点：隆中校[M-d47e3559983b36ba]；3.19 法学（办学地点：卧龙校区）[M-c3aa01976e9dba3c]；4.20 数育技术学（师范类；智慧教育：办学地点：卧龙校区）[M-792f0c820d6e028d]；5.21 葵過（外语语种：英语；办学地点：卧龙校区）[M-af6125a7326d96aa]；6.22 网络与新媒体（办学地点：卧龙校区）[M-773f46545824023b]；7.23 工程造价（办学地点：隆中校区）[M-3e4f92b56b4605b2]；8.24 财各管理（智能财会；办学地点：隆中校区）[M-3887015c36f270ff]；9.25 物流管理（智慧物流：办学地点：隆中校区）[M-11b2a84b3d5591fb],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-4379c6339b56fd5c,STABLEGROUP-f31c581ad6a43bbd
,,,,,C126,湖北文理学院,C12605,05,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,1,0,0,0,0,4,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,74,left,1.26 机械类（科创实验班；含机械设计制造及基自动化、智能制造工程专业；办学地点：隆中校区）[M-bc13a944dcbc68b7]；2.27 电子信息类（科创实验班：貪电子信息正程、通信工程专业；办学地点：隆中校区）[M-6f74419211ed73db]；3.28 机器人工程（科创实验班；办学地点：隆中校区）[M-80e00bd7a5c4ecf3]；4.29 计算机科学与技术（科创实验班；办学地点：隆中校区）[M-4796238b0dec110b],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-1cca3c2045e2fcac,STABLEGROUP-a6a60e2261cdf53e
,,,,,C151,汉江师范学院,C15114,14,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,可进入人工调剂接受度判断,1,0,0,1,0,0,0,1,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,81,left,1.57 思想政治教育（师范类；办学地点：校K◎ZAGA本部）[M-9f92d4fc57b2555d],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-c073c0568b127092,STABLEGROUP-2b64c0e0f7d46a4e
,,,,,C151,汉江师范学院,C15115,15,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,0,1,0,0,1,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,81,right,1.58 地理科学（师范类；办学地点：校本部；不招色盲考生，详见院校章程）C170 武汉职业技术大学（公办）（湖北）[M-62d87dc95f94298f],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-673f960aea4de7c0,STABLEGROUP-280eb797843cba07
,,,,,F008,北京农学院,F00803,03,北京,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,1,0,0,0,1,2,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,93,left,1.03 农业资源与环境（不招收色盲、色弱考生.免收学费）[M-93ea811fc22dfe7f]；2.04 数据科学与大数据技术[M-7377ad1f2804104f],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-004207e60cf05d31,STABLEGROUP-e4a578e12c65781b
,,,,,F099,天津外国语大学,F09910,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,1,0,0,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,96,right,1.28 数字媒体技术（可参与中国文化传播人才创新班选拔：滨海校区）F100天津商业大学（公办）（天津）[M-ba76e18b079d513f],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-954865af1940403b,STABLEGROUP-56751f5b0335c654
,,,,,F101,天津财经大学,F10110,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,2,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,96,right,1.15 应用统计学[M-e85219f68e0aaa3d]；2.16 数据科学与大数据技术F102 天津体育学院（公办）（天津）[M-507dcf539ffc0756],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-e8e5b6546a772c2d,STABLEGROUP-7c6e63c08bed1e35
,,,,,F127,安庆师范大学,F12702,02,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,0,1,0,0,0,2,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,145,right,1.04 化学工程与工艺（办学地点：龙山校[M-5e1b416cc0b695e6]；2.05 环境工程（办学地点：龙山校区）H128 淮北师范大学（公办）（安徽）[M-18639b8659dd69ac],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-8ffc283252b9aebf,STABLEGROUP-962b5850b07436f4
,,,,,F178,河北地质大学,F17806,06,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,98,right,1.24 计算机科学与技术P179 河北工业大学（公办）（天津）[M-858ecb0319ca132a],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-898051ca43c21818,STABLEGROUP-5fcb72fe5a9e8687
,,,,,F188,河北师范大学,F18808,08,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,0,1,0,0,1,1,V1-偏好专业优先线索,true,R3-P2官网后人工确认,H0-无同代码历史线索,0,,,101,right,1.10 生物科学（师范类；不招色盲、色弱考[M-95f1672dde9e0e40],先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,G-ea5e69e77e1b6fb5,STABLEGROUP-40e94335f81b5669
,,,,,F188,河北师范大学,F18809,09,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,暂缓进入主方案-组内存在特殊限制待核专业,暂不判断-特殊限制待核,1,0,0,1,0,0,1,1,V1-偏好专业优先线索,true,R3-P2官网后人工确认,H0-无同代码历史线索,0,,,101,right,1.11 地理科学（师范炎；不招色盲考生）[M-4778800fb75ee4a9],先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,官网只作辅证，不能替代湖北省招办计划。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,先自动核高校官网/章程来源，再人工确认费用、校区、调剂范围。,G-500180846c59e6d2,STABLEGROUP-6b2e261b588e5fc8
,,,,,F188,河北师范大学,F18810,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,101,right,1.12 软件工程F189保定学院（公办）（河北）[M-f86c15b2814a3dc2],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-fbb153a8649b32fa,STABLEGROUP-a8502c0af134e560
,,,,,F230,三明学院,F23003,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,4,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,149,left,1.04 物联网工程[M-b5264460ae810087]；2.05 电子信息工程[M-404a1e143382d40a]；3.06 材料化学[M-b2f15cf9aff9e5ca]；4.07 环境工程H231龙岩学院（公办）（福建）[M-fe9c5045ea377cdf],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-dbcb3699b58f5bdd,STABLEGROUP-4490a5b063eec37d
,,,,,F303,长治学院,F30309,09,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,1,0,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,109,left,1.13 网络工程（办学地点：北校区）F304运城学院（公办）（山西）[M-4b09653c8eb36374],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-8490055731e39545,STABLEGROUP-94665a30f5d7143e
,,,,,F305,忻州师范学院,F30510,10,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内结构异常需先核页,1,0,0,1,0,0,0,1,V1-偏好专业优先线索,true,R1-P0整组先核,H0-无同代码历史线索,0,,,109,left,1.26 生物科学（师范类）F306 山西財经大学（公办）（山西）[M-b940aef728a3032f],按P0优先核PDF原页结构、字段缺口和官网冲突。,整组所有专业都要核，不能只核拟填6个专业。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按P0优先核PDF原页结构、字段缺口和官网冲突。,G-3b3e8835fcb96c96,STABLEGROUP-b47ca01dd259789c
,,,,,F328,江西水利电力大学,F32803,03,,非民办线索-教育部名单未备注民办,继续核公办普通学费-非民办线索,优先复核-有偏好专业且未触发自动阻断,暂不判断-组内存在学费字段待核,1,0,1,0,0,0,0,8,V1-偏好专业优先线索,true,R2-P1页列集中核,H0-无同代码历史线索,0,,,160,left,1.07 水利水电工程（办学地点：瑶湖校区）[M-443538519ca2450c]；2.08 农业水利工程（办学地点：瑶湖校区）[M-d52be68dd96e5dfd]；3.09 水土保持与荒漠化防治（办学地点：瑶[M-febf4ca685156607]；4.10 士木工程（建筑工程、地下工程；办学地点：瑶湖校区）[M-bc38c7e5bbb399b0]；5.11 电气工程及其自动化（办学地点：瑶湖校区）[M-db84054d68fc07f9]；6.12 智能电网信息工程（办学地点：瑶湖校[M-4a0511a18fdd9c3b]；7.13 数据科学与大数据技术（办学地点：瑶湖校区）[M-ac78547d4b06fd04]；8.14 香料香精技术与工程（办学地点：瑶湖校区）[M-b9a9a2fd45e616cd],按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,同一页列若发现结构错误，整页列升级核验。,专业组筛选视图未完成完整组内专业、PDF原页、湖北官方计划、学校官网/章程、家庭接受度和调剂范围闭环。,按页列集中核字段缺口，再接湖北官方计划和高校官网辅证。,G-1eb37df4364f6225,STABLEGROUP-bf33eda8bc0913d8
